"id","product_code","product_name","product_type","product_desc","status","del_flag","remark","create_id","create_name","create_time","update_id","update_name","update_time"
"32","12220004349","ASZ-天线罩 A991-3203-01","-1","ASZ-天线罩 A991-3203-01","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"33","12220002760","ASZ-天线罩 A991-3049-01","-1","ASZ-天线罩 A991-3049-01","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"34","12220006773","ASZ-天线罩（ASA ）637933-1","-1","ASZ-天线罩（ASA ）637933-1","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"35","12220001787","RFS-天线罩 1A2515","-1","RFS-天线罩 1A2515","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"36","12220008122","ASZ-ASA天线罩 641347-1","-1","ASZ-ASA天线罩 641347-1","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"37","12220000859","ASZ-天线罩 A991-1937-15","-1","ASZ-天线罩 A991-1937-15","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"38","12220000886","ASZ-天线罩 629962-1","-1","ASZ-天线罩 629962-1","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"39","12220000843","ASZ-天线罩JK A991-1056-05","-1","ASZ-天线罩JK A991-1056-05","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"40","12220004557","ASZ-天线罩 654019-1","-1","ASZ-天线罩 654019-1","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"41","12220003699","ASZ-天线罩 629271-1","-1","ASZ-天线罩 629271-1","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"42","12220004908","ZYD-U上盖 SLD8.605.3311","-1","ZYD-U上盖 SLD8.605.3311","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
