"id","customer_name","customer_desc","status","del_flag","remark","create_id","create_name","create_time","update_id","update_name","update_time"
"55","滁州市博康模具塑料有限公司","滁州市博康模具塑料有限公司","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"56","苏州路之遥科技股份有限公司","苏州路之遥科技股份有限公司","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"57","凯保乐电子（徐州）有限公司","凯保乐电子（徐州）有限公司","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"58","BSH Sprzęt Gospodarstwa Domowego","BSH Sprzęt Gospodarstwa Domowego Sp.","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"59","emz-Hanauer GmbH & Co. KGaA","emz-Hanauer GmbH & Co. KGaA","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"60","江苏朗鸿机电有限公司","江苏朗鸿机电有限公司","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"61","养志电子（南京）有限公司","养志电子（南京）有限公司","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"62","南京嘉展精密电子有限公司","南京嘉展精密电子有限公司","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"63","BSH Hausgeräte GmbH","BSH Hausgeräte GmbH","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"64","上海安费诺永亿通讯电子有限公司","上海安费诺永亿通讯电子有限公司","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"65","Hexatronic C&I Systems AB","Hexatronic C&I Systems AB","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"66","常熟市泓博通讯技术股份有限公司","常熟市泓博通讯技术股份有限公司","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"67","南京奥联汽车电子电器股份有限公司","南京奥联汽车电子电器股份有限公司","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"68","杭州铭赫科技有限公司","杭州铭赫科技有限公司","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"69","曲靖中铭科技有限公司","曲靖中铭科技有限公司","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"70","南京塔塔汽车零部件系统有限公司","南京塔塔汽车零部件系统有限公司","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"71","苏世博（南京）减振系统有限公司","苏世博（南京）减振系统有限公司","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"72","上海紫耀科技发展有限公司","上海紫耀科技发展有限公司","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"73","杭州安费诺飞凤通信部品有限公司","杭州安费诺飞凤通信部品有限公司","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"74","南京物联传感技术有限公司","南京物联传感技术有限公司","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"75","南京鸿富夏精密电子有限公司","南京鸿富夏精密电子有限公司","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"76","富泰华工业（深圳）有限公司","富泰华工业（深圳）有限公司","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"77","昆山乙盛机械工业有限公司","昆山乙盛机械工业有限公司","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"78","鸿富泰精密电子（烟台）有限公司","鸿富泰精密电子（烟台）有限公司","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"79","佛山群志光电有限公司","佛山群志光电有限公司","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"80","河南中富康数显有限公司","河南中富康数显有限公司","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"81","上海吉博力房屋卫生设备工程技术有限公司","上海吉博力房屋卫生设备工程技术有限公司","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"82","合肥合纵光电科技股份有限公司","合肥合纵光电科技股份有限公司","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"83","兴和（上海）贸易有限公司","兴和（上海）贸易有限公司","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"84","上海黑田贸易有限公司","上海黑田贸易有限公司","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"85","南京飞腾电子科技有限公司","南京飞腾电子科技有限公司","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"86","南京欧伟雅电子科技有限公司","南京欧伟雅电子科技有限公司","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"87","菲尼克斯（南京）新能源汽车技术有限公司","菲尼克斯（南京）新能源汽车技术有限公司","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
"88","宜兴市恒源复合材料科技有限公司","宜兴市恒源复合材料科技有限公司","1","0","","-1","","1/1/1000 00:00:00","-1","","1/1/1000 00:00:00"
